framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.01349401,29367700000.0
hpx-plainmpi-join,48,512,0.01309834,240397000000.0
hpx-plainmpi-join,48,4096,0.02458885,1023590000000.0
hpx-plainmpi-join,48,32768,0.09924502,2028612000000.0
hpx-plainmpi-join,48,262144,0.7049708,2284656000000.0
hpx-plainmpi-join,48,2097152,5.341606,2412178000000.0
hpx-plainmpi-join,48,16777216,42.39133,2431611000000.0
hpx-plainmpi-join,48,64,0.0133605,29661170000.0
hpx-plainmpi-join,48,512,0.01216429,258856000000.0
hpx-plainmpi-join,48,4096,0.02320119,1084810000000.0
hpx-plainmpi-join,48,32768,0.1001502,2010278000000.0
hpx-plainmpi-join,48,262144,1.374206,1172033000000.0
hpx-plainmpi-join,48,2097152,5.334695,2415303000000.0
hpx-plainmpi-join,48,16777216,42.58964,2420288000000.0
hpx-plainmpi-join,48,64,0.0127122,31173830000.0
hpx-plainmpi-join,48,512,0.02485768,126673200000.0
hpx-plainmpi-join,48,4096,0.02359468,1066719000000.0
hpx-plainmpi-join,48,32768,0.09886233,2036465000000.0
hpx-plainmpi-join,48,262144,1.372447,1173536000000.0
hpx-plainmpi-join,48,2097152,5.448933,2364666000000.0
hpx-plainmpi-join,48,16777216,42.93447,2400850000000.0
hpx-plainmpi-join,48,64,0.0126992,31205740000.0
hpx-plainmpi-join,48,512,0.01415878,222392100000.0
hpx-plainmpi-join,48,4096,0.0302993,830675900000.0
hpx-plainmpi-join,48,32768,0.09837704,2046511000000.0
hpx-plainmpi-join,48,262144,0.7066602,2279194000000.0
hpx-plainmpi-join,48,2097152,5.374582,2397378000000.0
hpx-plainmpi-join,48,16777216,42.42656,2429591000000.0
hpx-plainmpi-join,48,64,0.01136721,34862390000.0
hpx-plainmpi-join,48,512,0.01551827,202909200000.0
hpx-plainmpi-join,48,4096,0.02308663,1090194000000.0
hpx-plainmpi-join,48,32768,0.09851934,2043555000000.0
hpx-plainmpi-join,48,262144,0.7020131,2294282000000.0
hpx-plainmpi-join,48,2097152,10.60441,1215051000000.0
hpx-plainmpi-join,48,16777216,42.75464,2410948000000.0
hpx-plainmpi-join,96,64,0.01777677,44584930000.0
hpx-plainmpi-join,96,512,0.01719814,366179100000.0
hpx-plainmpi-join,96,4096,0.02939401,1712519000000.0
hpx-plainmpi-join,96,32768,0.104861,3839934000000.0
hpx-plainmpi-join,96,262144,0.7244994,4446148000000.0
hpx-plainmpi-join,96,2097152,5.373417,4795796000000.0
hpx-plainmpi-join,96,16777216,42.66046,4832541000000.0
hpx-plainmpi-join,96,64,0.0180703,43860700000.0
hpx-plainmpi-join,96,512,0.01772336,355327600000.0
hpx-plainmpi-join,96,4096,0.02653978,1896692000000.0
hpx-plainmpi-join,96,32768,0.1022139,3939378000000.0
hpx-plainmpi-join,96,262144,0.7187479,4481727000000.0
hpx-plainmpi-join,96,2097152,5.396702,4775103000000.0
hpx-plainmpi-join,96,16777216,43.01186,4793060000000.0
hpx-plainmpi-join,96,64,512.0,4096.0
hpx-plainmpi-join,96,32768,262144.0,2097152.0
