framework,ncpu,iter,elapsed,flops
mpi,48,64,0.002519109,157312800000.0
mpi,48,512,0.004110675,766005600000.0
mpi,48,4096,0.0363519,692368200000.0
mpi,48,32768,0.09331174,2157603000000.0
mpi,48,262144,0.7270124,2215390000000.0
mpi,48,2097152,5.756471,2238334000000.0
mpi,48,16777216,46.11944,2235049000000.0
mpi,48,64,0.002352715,168438600000.0
mpi,48,512,0.008783374,358495500000.0
mpi,48,4096,0.01283059,1961632000000.0
mpi,48,32768,0.09534591,2111571000000.0
mpi,48,262144,0.7243254,2223608000000.0
mpi,48,2097152,5.713702,2255089000000.0
mpi,48,16777216,45.74231,2253477000000.0
mpi,48,64,0.002320108,170805800000.0
mpi,48,512,0.00341496,922060600000.0
mpi,48,4096,0.01448424,1737675000000.0
mpi,48,32768,0.09508813,2117295000000.0
mpi,48,262144,0.7284617,2210982000000.0
mpi,48,2097152,5.747083,2241991000000.0
mpi,48,16777216,46.03221,2239285000000.0
mpi,48,64,0.002305748,171869600000.0
mpi,48,512,0.005385176,584716300000.0
mpi,48,4096,0.0129178,1948388000000.0
mpi,48,32768,0.09254825,2175402000000.0
mpi,48,262144,0.729438,2208023000000.0
mpi,48,2097152,5.778353,2229858000000.0
mpi,48,16777216,46.05828,2238017000000.0
mpi,48,64,0.002814592,140797700000.0
mpi,48,512,0.02687685,117156600000.0
mpi,48,4096,0.01470274,1711851000000.0
mpi,48,32768,0.1085571,1854596000000.0
mpi,48,262144,0.7667104,2100683000000.0
mpi,48,2097152,5.732095,2247853000000.0
mpi,48,16777216,46.08484,2236727000000.0
mpi,96,64,0.003657806,216680700000.0
mpi,96,512,0.003554644,1771654000000.0
mpi,96,4096,0.01490428,3377405000000.0
mpi,96,32768,0.0953712,4222022000000.0
mpi,96,262144,0.757354,4253271000000.0
mpi,96,2097152,5.867694,4391812000000.0
mpi,96,16777216,46.85868,4399579000000.0
mpi,96,64,0.002778132,285291000000.0
mpi,96,512,0.003680044,1711284000000.0
mpi,96,4096,0.01331255,3781227000000.0
mpi,96,32768,0.09721987,4141739000000.0
mpi,96,262144,0.7363503,4374591000000.0
mpi,96,2097152,5.817267,4429882000000.0
mpi,96,16777216,46.65479,4418806000000.0
mpi,96,64,0.002450701,323407900000.0
mpi,96,512,0.003465265,1817350000000.0
mpi,96,4096,0.0135497,3715050000000.0
mpi,96,32768,0.09660132,4168259000000.0
mpi,96,262144,0.7348575,4383478000000.0
mpi,96,2097152,6.315509,4080401000000.0
mpi,96,16777216,49.43315,4170449000000.0
mpi,96,64,0.002784822,284605600000.0
mpi,96,512,0.003520534,1788820000000.0
mpi,96,4096,0.01455332,3458852000000.0
mpi,96,32768,0.09697817,4152061000000.0
mpi,96,262144,0.7321399,4399749000000.0
mpi,96,2097152,5.875596,4385906000000.0
mpi,96,16777216,46.04953,4476885000000.0
mpi,96,64,0.002353675,336739800000.0
mpi,96,512,0.00369196,1705761000000.0
mpi,96,4096,0.01349635,3729733000000.0
mpi,96,32768,0.09425443,4272047000000.0
mpi,96,262144,0.7352571,4381095000000.0
mpi,96,2097152,5.735061,4493380000000.0
mpi,96,16777216,46.21654,4460707000000.0
mpi,192,64,0.003763221,421222100000.0
mpi,192,512,0.004496998,2800802000000.0
mpi,192,4096,0.01403433,7173520000000.0
mpi,192,32768,0.0997853,8070514000000.0
mpi,192,262144,0.7454165,8642770000000.0
mpi,192,2097152,5.85324,8805314000000.0
mpi,192,16777216,46.69162,8830640000000.0
mpi,192,64,0.002491754,636159100000.0
mpi,192,512,0.005302287,2375428000000.0
mpi,192,4096,0.0144669,6959029000000.0
mpi,192,32768,0.09986529,8064050000000.0
mpi,192,262144,0.761792,8456985000000.0
mpi,192,2097152,5.791656,8898944000000.0
mpi,192,16777216,46.27003,8911099000000.0
mpi,192,64,0.002796876,566758100000.0
mpi,192,512,0.005487504,2295251000000.0
mpi,192,4096,0.01340588,7509808000000.0
mpi,192,32768,0.09857892,8169279000000.0
mpi,192,262144,0.7430256,8670580000000.0
mpi,192,2097152,5.780417,8916246000000.0
mpi,192,16777216,46.5347,8860418000000.0
mpi,192,64,0.002736398,579284200000.0
mpi,192,512,0.00475407,2649351000000.0
mpi,192,4096,0.01504434,6691922000000.0
mpi,192,32768,0.1029136,7825194000000.0
mpi,192,262144,0.7301849,8823058000000.0
mpi,192,2097152,6.019571,8562009000000.0
mpi,192,16777216,46.0847,8946936000000.0
mpi,192,64,0.003014787,525792400000.0
mpi,192,512,0.004986786,2525715000000.0
mpi,192,4096,0.01590919,6328141000000.0
mpi,192,32768,0.09821167,8199827000000.0
mpi,192,262144,0.7819312,8239169000000.0
mpi,192,2097152,5.791499,8899185000000.0
mpi,192,16777216,46.40011,8886118000000.0
mpi,384,64,0.004133028,767065700000.0
mpi,384,512,0.004929473,5110161000000.0
mpi,384,4096,0.01600843,12577820000000.0
mpi,384,32768,0.1012372,15909540000000.0
mpi,384,262144,0.7411656,17384680000000.0
mpi,384,2097152,5.909748,17442240000000.0
mpi,384,16777216,49.9966,16493800000000.0
mpi,384,64,0.002771883,1143737000000.0
mpi,384,512,0.004904125,5136574000000.0
mpi,384,4096,0.01461596,13776110000000.0
mpi,384,32768,0.09817522,16405740000000.0
mpi,384,262144,0.7486537,17210800000000.0
mpi,384,2097152,5.888485,17505220000000.0
mpi,384,16777216,47.10316,17506970000000.0
mpi,384,64,0.00321874,984951900000.0
mpi,384,512,0.004221041,5967817000000.0
mpi,384,4096,0.01501216,13412540000000.0
mpi,384,32768,0.09970389,16154210000000.0
mpi,384,262144,0.838721,15362590000000.0
mpi,384,2097152,5.905959,17453430000000.0
mpi,384,16777216,48.25932,17087550000000.0
mpi,384,64,0.002919999,1085721000000.0
mpi,384,512,0.005314212,4740195000000.0
mpi,384,4096,0.01763507,11417660000000.0
mpi,384,32768,0.1011351,15925600000000.0
mpi,384,262144,0.7496604,17187680000000.0
mpi,384,2097152,6.048086,17043280000000.0
mpi,384,16777216,48.78797,16902400000000.0
mpi,384,64,0.003028307,1046890000000.0
mpi,384,512,0.004025138,6258270000000.0
mpi,384,4096,0.01367143,14727880000000.0
mpi,384,32768,0.0973337,16547580000000.0
mpi,384,262144,0.7481424,17222560000000.0
mpi,384,2097152,5.919514,17413460000000.0
mpi,384,16777216,49.54556,16643950000000.0
mpi-openmp,48,64,0.02910353,13616490000.0
mpi-openmp,48,512,0.02933487,107339800000.0
mpi-openmp,48,4096,0.03665286,686682900000.0
mpi-openmp,48,32768,0.1109419,1814731000000.0
mpi-openmp,48,262144,0.7155967,2250731000000.0
mpi-openmp,48,2097152,5.538216,2326544000000.0
mpi-openmp,48,16777216,42.96769,2398994000000.0
mpi-openmp,48,64,0.02792715,14190060000.0
mpi-openmp,48,512,0.0288657,109084500000.0
mpi-openmp,48,4096,0.03624539,694402600000.0
mpi-openmp,48,32768,0.1127815,1785130000000.0
mpi-openmp,48,262144,0.7191688,2239552000000.0
mpi-openmp,48,2097152,5.402168,2385136000000.0
mpi-openmp,48,16777216,43.49285,2370027000000.0
mpi-openmp,48,64,0.02840607,13950820000.0
mpi-openmp,48,512,0.02967376,106113900000.0
mpi-openmp,48,4096,0.03645217,690463600000.0
mpi-openmp,48,32768,0.1116942,1802508000000.0
mpi-openmp,48,262144,0.7228296,2228210000000.0
mpi-openmp,48,2097152,5.413649,2380077000000.0
mpi-openmp,48,16777216,44.17546,2333404000000.0
mpi-openmp,48,64,0.03122779,12690240000.0
mpi-openmp,48,512,0.02886584,109083900000.0
mpi-openmp,48,4096,0.0363677,692067200000.0
mpi-openmp,48,32768,0.1150609,1749766000000.0
mpi-openmp,48,262144,0.7219995,2230771000000.0
mpi-openmp,48,2097152,5.377863,2395916000000.0
mpi-openmp,48,16777216,42.97629,2398514000000.0
mpi-openmp,48,64,0.02842647,13940810000.0
mpi-openmp,48,512,0.02904929,108395100000.0
mpi-openmp,48,4096,0.03605303,698107600000.0
mpi-openmp,48,32768,0.1116012,1804009000000.0
mpi-openmp,48,262144,0.7213244,2232859000000.0
mpi-openmp,48,2097152,6.49766,1983007000000.0
mpi-openmp,48,16777216,43.20158,2386006000000.0
mpi-openmp,96,64,0.03040946,26063470000.0
mpi-openmp,96,512,0.03293692,191201800000.0
mpi-openmp,96,4096,0.04139134,1216143000000.0
mpi-openmp,96,32768,0.1159687,3472136000000.0
mpi-openmp,96,262144,0.7402344,4351638000000.0
mpi-openmp,96,2097152,6.080526,4238089000000.0
mpi-openmp,96,16777216,44.2551,4658411000000.0
mpi-openmp,96,64,0.03093021,25624650000.0
mpi-openmp,96,512,0.03124161,201577300000.0
mpi-openmp,96,4096,0.04272509,1178179000000.0
mpi-openmp,96,32768,0.1173022,3432667000000.0
mpi-openmp,96,262144,0.7264865,4433987000000.0
mpi-openmp,96,2097152,5.473862,4707793000000.0
mpi-openmp,96,16777216,43.45086,4744634000000.0
mpi-openmp,96,64,0.02910063,27235700000.0
mpi-openmp,96,512,0.02965123,212389100000.0
mpi-openmp,96,4096,0.04076914,1234703000000.0
mpi-openmp,96,32768,0.1151357,3497258000000.0
mpi-openmp,96,262144,0.7314508,4403894000000.0
mpi-openmp,96,2097152,5.626446,4580122000000.0
mpi-openmp,96,16777216,43.86956,4699350000000.0
mpi-openmp,96,64,0.03187594,24864400000.0
mpi-openmp,96,512,0.03319644,189707100000.0
mpi-openmp,96,4096,0.04120715,1221579000000.0
mpi-openmp,96,32768,0.1191721,3378806000000.0
mpi-openmp,96,262144,0.7463009,4316264000000.0
mpi-openmp,96,2097152,5.512235,4675020000000.0
mpi-openmp,96,16777216,44.33919,4649576000000.0
mpi-openmp,96,64,0.03178575,24934950000.0
mpi-openmp,96,512,0.03310894,190208500000.0
mpi-openmp,96,4096,0.03803048,1323617000000.0
mpi-openmp,96,32768,0.1201615,3350986000000.0
mpi-openmp,96,262144,0.7413069,4345341000000.0
mpi-openmp,96,2097152,5.505024,4681144000000.0
mpi-openmp,96,16777216,44.15066,4669430000000.0
mpi-openmp,192,64,0.03235124,48998190000.0
mpi-openmp,192,512,0.03519545,357864400000.0
mpi-openmp,192,4096,0.04612731,2182559000000.0
mpi-openmp,192,32768,0.1164766,6913997000000.0
mpi-openmp,192,262144,0.7444907,8653517000000.0
mpi-openmp,192,2097152,5.459077,9441087000000.0
mpi-openmp,192,16777216,44.25107,9317670000000.0
mpi-openmp,192,64,0.03228151,49104020000.0
mpi-openmp,192,512,0.03442852,365836200000.0
mpi-openmp,192,4096,0.04078534,2468426000000.0
mpi-openmp,192,32768,0.1146515,7024055000000.0
mpi-openmp,192,262144,0.7502282,8587338000000.0
mpi-openmp,192,2097152,5.463899,9432755000000.0
mpi-openmp,192,16777216,44.5915,9246534000000.0
mpi-openmp,192,64,0.03239942,48925320000.0
mpi-openmp,192,512,0.036488,345187400000.0
mpi-openmp,192,4096,0.05212657,1931368000000.0
mpi-openmp,192,32768,0.1170427,6880556000000.0
mpi-openmp,192,262144,0.7474456,8619307000000.0
mpi-openmp,192,2097152,5.470712,9421008000000.0
mpi-openmp,192,16777216,44.59383,9246051000000.0
mpi-openmp,192,64,0.0323219,49042660000.0
mpi-openmp,192,512,0.03301088,381546900000.0
mpi-openmp,192,4096,0.04474536,2249967000000.0
mpi-openmp,192,32768,0.1173352,6863403000000.0
mpi-openmp,192,262144,0.748235,8610213000000.0
mpi-openmp,192,2097152,5.589957,9220039000000.0
mpi-openmp,192,16777216,43.99474,9371959000000.0
mpi-openmp,192,64,0.03161337,50141830000.0
mpi-openmp,192,512,0.03290473,382777800000.0
mpi-openmp,192,4096,0.04073958,2471198000000.0
mpi-openmp,192,32768,0.12133,6637426000000.0
mpi-openmp,192,262144,0.7458615,8637614000000.0
mpi-openmp,192,2097152,6.548786,7870103000000.0
mpi-openmp,192,16777216,45.23801,9114390000000.0
mpi-openmp,384,64,0.03206737,98863850000.0
mpi-openmp,384,512,0.03558197,707954100000.0
mpi-openmp,384,4096,0.04339399,4640071000000.0
mpi-openmp,384,32768,0.1175131,13706030000000.0
mpi-openmp,384,262144,0.7443656,17309940000000.0
mpi-openmp,384,2097152,6.620373,15570010000000.0
mpi-openmp,384,16777216,46.17962,17857090000000.0
mpi-openmp,384,64,0.05941639,53357400000.0
mpi-openmp,384,512,0.03439594,732365600000.0
mpi-openmp,384,4096,0.04188988,4806678000000.0
mpi-openmp,384,32768,0.1181208,13635510000000.0
mpi-openmp,384,262144,0.7538585,17091970000000.0
mpi-openmp,384,2097152,5.829406,17682630000000.0
mpi-openmp,384,16777216,45.66434,18058590000000.0
mpi-openmp,384,64,0.03251203,97511710000.0
mpi-openmp,384,512,0.054284,464048300000.0
mpi-openmp,384,4096,0.04236747,4752495000000.0
mpi-openmp,384,32768,0.1255186,12831860000000.0
mpi-openmp,384,262144,0.7610307,16930890000000.0
mpi-openmp,384,2097152,5.644884,18260650000000.0
mpi-openmp,384,16777216,46.04789,17908180000000.0
mpi-openmp,384,64,0.03288912,96393690000.0
mpi-openmp,384,512,0.0350094,719532400000.0
mpi-openmp,384,4096,0.0422854,4761719000000.0
mpi-openmp,384,32768,0.1192489,13506520000000.0
mpi-openmp,384,262144,0.7503769,17171270000000.0
mpi-openmp,384,2097152,5.672718,18171050000000.0
mpi-openmp,384,16777216,47.2755,17443150000000.0
mpi-openmp,384,64,0.04265446,74325270000.0
mpi-openmp,384,512,0.0339565,741843300000.0
mpi-openmp,384,4096,0.05555756,3624190000000.0
mpi-openmp,384,32768,0.1279335,12589640000000.0
mpi-openmp,384,262144,0.7528881,17114000000000.0
mpi-openmp,384,2097152,6.787657,15186280000000.0
mpi-openmp,384,16777216,46.24959,17830080000000.0
openmp,48,64,0.2594008,1527705000.0
openmp,48,512,0.1930451,16311210000.0
openmp,48,4096,0.227706,110532400000.0
openmp,48,32768,0.347717,579004300000.0
openmp,48,262144,0.8013489,2009881000000.0
openmp,48,2097152,5.575794,2310865000000.0
openmp,48,16777216,43.58756,2364877000000.0
openmp,48,64,0.1584241,2501437000.0
openmp,48,512,0.1713951,18371590000.0
openmp,48,4096,0.213552,117858400000.0
openmp,48,32768,0.2256601,892181100000.0
openmp,48,262144,0.7881901,2043436000000.0
openmp,48,2097152,5.424448,2375339000000.0
openmp,48,16777216,43.08882,2392249000000.0
openmp,48,64,0.260215,1522925000.0
openmp,48,512,0.2733459,11519470000.0
openmp,48,4096,0.2217832,113484300000.0
openmp,48,32768,0.3503799,574603800000.0
openmp,48,262144,0.785315,2050917000000.0
openmp,48,2097152,5.511181,2337957000000.0
openmp,48,16777216,44.15727,2334366000000.0
openmp,48,64,0.1357591,2919053000.0
openmp,48,512,0.199084,15816440000.0
openmp,48,4096,0.1889842,133179900000.0
openmp,48,32768,0.3908601,515094000000.0
openmp,48,262144,0.771641,2087260000000.0
openmp,48,2097152,5.429665,2373057000000.0
openmp,48,16777216,43.45558,2372059000000.0
openmp,48,64,0.1693192,2340479000.0
openmp,48,512,0.1967459,16004400000.0
openmp,48,4096,0.3022802,83263470000.0
openmp,48,32768,0.3873398,519775300000.0
openmp,48,262144,0.7511439,2144217000000.0
openmp,48,2097152,5.475126,2353353000000.0
openmp,48,16777216,44.14631,2334945000000.0
