framework,ncpu,iter,elapsed,flops
hpx-local-join,48,64,0.005718946,69293880000.0
hpx-local-join,48,512,0.006304026,499490400000.0
hpx-local-join,48,4096,0.01628518,1545509000000.0
hpx-local-join,48,32768,0.08819008,2282906000000.0
hpx-local-join,48,262144,0.668746,2408412000000.0
hpx-local-join,48,2097152,5.333867,2415678000000.0
hpx-local-join,48,16777216,42.33991,2434564000000.0
hpx-local-join,48,64,0.01233101,32137520000.0
hpx-local-join,48,512,0.006536961,481691800000.0
hpx-local-join,48,4096,0.01602507,1570595000000.0
hpx-local-join,48,32768,0.08811212,2284926000000.0
hpx-local-join,48,262144,0.6683621,2409795000000.0
hpx-local-join,48,2097152,5.379497,2395188000000.0
hpx-local-join,48,16777216,42.40504,2430825000000.0
hpx-local-join,48,64,0.00599885,66060660000.0
hpx-local-join,48,512,0.006579876,478550100000.0
hpx-local-join,48,4096,0.0157969,1593281000000.0
hpx-local-join,48,32768,0.09022689,2231371000000.0
hpx-local-join,48,262144,0.6677809,2411893000000.0
hpx-local-join,48,2097152,5.325581,2419437000000.0
hpx-local-join,48,16777216,42.88149,2403816000000.0
hpx-local-join,48,64,0.0217092,18254380000.0
hpx-local-join,48,512,0.01314211,239596200000.0
hpx-local-join,48,4096,0.01581597,1591359000000.0
hpx-local-join,48,32768,0.08828902,2280348000000.0
hpx-local-join,48,262144,0.667592,2412575000000.0
hpx-local-join,48,2097152,5.371931,2398561000000.0
hpx-local-join,48,16777216,43.07344,2393104000000.0
hpx-local-join,48,64,0.006124973,64700360000.0
hpx-local-join,48,512,0.006106138,515677800000.0
hpx-local-join,48,4096,0.01655293,1520510000000.0
hpx-local-join,48,32768,0.08883595,2266308000000.0
hpx-local-join,48,262144,0.6677172,2412123000000.0
hpx-local-join,48,2097152,5.336732,2414381000000.0
hpx-local-join,48,16777216,42.39333,2431496000000.0
hpx-plainmpi-join,48,64,0.01232165,32161930000.0
hpx-plainmpi-join,48,512,0.01183191,266127900000.0
hpx-plainmpi-join,48,4096,0.02042763,1232101000000.0
hpx-plainmpi-join,48,32768,0.0962375,2092009000000.0
hpx-plainmpi-join,48,262144,0.67697,2379154000000.0
hpx-plainmpi-join,48,2097152,5.32106,2421492000000.0
hpx-plainmpi-join,48,16777216,42.32942,2435167000000.0
hpx-plainmpi-join,48,64,0.01158193,34216070000.0
hpx-plainmpi-join,48,512,0.01139707,276281600000.0
hpx-plainmpi-join,48,4096,0.02028177,1240962000000.0
hpx-plainmpi-join,48,32768,0.09430722,2134828000000.0
hpx-plainmpi-join,48,262144,0.6774779,2377370000000.0
hpx-plainmpi-join,48,2097152,5.316552,2423545000000.0
hpx-plainmpi-join,48,16777216,42.35257,2433836000000.0
hpx-plainmpi-join,48,64,0.01221121,32452800000.0
hpx-plainmpi-join,48,512,0.01224852,257075900000.0
hpx-plainmpi-join,48,4096,0.01973111,1275595000000.0
hpx-plainmpi-join,48,32768,0.09519499,2114919000000.0
hpx-plainmpi-join,48,262144,0.6807414,2365973000000.0
hpx-plainmpi-join,48,2097152,5.315833,2423873000000.0
hpx-plainmpi-join,48,16777216,42.37834,2432356000000.0
hpx-plainmpi-join,48,64,0.01309857,30254290000.0
hpx-plainmpi-join,48,512,0.01528162,206051500000.0
hpx-plainmpi-join,48,4096,0.02183816,1152519000000.0
hpx-plainmpi-join,48,32768,0.09565751,2104693000000.0
hpx-plainmpi-join,48,262144,0.6780442,2375385000000.0
hpx-plainmpi-join,48,2097152,5.319237,2422322000000.0
hpx-plainmpi-join,48,16777216,42.37871,2432335000000.0
hpx-plainmpi-join,48,64,0.009661163,41018660000.0
hpx-plainmpi-join,48,512,0.01223647,257329100000.0
hpx-plainmpi-join,48,4096,0.02145555,1173072000000.0
hpx-plainmpi-join,48,32768,0.09625831,2091556000000.0
hpx-plainmpi-join,48,262144,0.6775009,2377290000000.0
hpx-plainmpi-join,48,2097152,5.3178,2422976000000.0
hpx-plainmpi-join,48,16777216,42.35525,2433682000000.0
hpx-plainmpi-join,96,64,0.08301004,9547953000.0
hpx-plainmpi-join,96,512,0.08288045,75984140000.0
hpx-plainmpi-join,96,4096,0.08289462,607250400000.0
hpx-plainmpi-join,96,32768,0.1420213,2835203000000.0
hpx-plainmpi-join,96,262144,0.7473865,4309994000000.0
hpx-plainmpi-join,96,2097152,5.402525,4769957000000.0
hpx-plainmpi-join,96,16777216,42.58125,4841531000000.0
hpx-plainmpi-join,96,64,0.08276555,9576158000.0
hpx-plainmpi-join,96,512,0.08294214,75927630000.0
