framework,ncpu,iter,elapsed,flops
mpi-bulk,48,64,0.01184146,33466150000.0
mpi-bulk,48,512,0.01293369,243457100000.0
mpi-bulk,48,4096,0.02374963,1059760000000.0
mpi-bulk,48,32768,0.0986065,2041748000000.0
mpi-bulk,48,262144,0.6751827,2385452000000.0
mpi-bulk,48,2097152,5.301203,2430563000000.0
mpi-bulk,48,16777216,42.39025,2431673000000.0
mpi-bulk,48,64,0.01195508,33148100000.0
mpi-bulk,48,512,0.01290556,243987900000.0
mpi-bulk,48,4096,0.02275147,1106254000000.0
mpi-bulk,48,32768,0.0948317,2123021000000.0
mpi-bulk,48,262144,0.6750888,2385784000000.0
mpi-bulk,48,2097152,5.300485,2430892000000.0
mpi-bulk,48,16777216,42.37582,2432501000000.0
mpi-bulk,48,64,0.01184991,33442270000.0
mpi-bulk,48,512,0.01366112,230493500000.0
mpi-bulk,48,4096,0.02253133,1117062000000.0
mpi-bulk,48,32768,0.1172145,1717618000000.0
mpi-bulk,48,262144,0.8191914,1966105000000.0
mpi-bulk,48,2097152,5.326605,2418971000000.0
mpi-bulk,48,16777216,42.3661,2433059000000.0
mpi-bulk,48,64,0.01211416,32712800000.0
mpi-bulk,48,512,0.01269494,248035800000.0
mpi-bulk,48,4096,0.02331947,1079308000000.0
mpi-bulk,48,32768,0.102009,1973646000000.0
mpi-bulk,48,262144,0.6816616,2362779000000.0
mpi-bulk,48,2097152,5.302871,2429798000000.0
mpi-bulk,48,16777216,42.34962,2434006000000.0
mpi-bulk,48,64,0.01216257,32582580000.0
mpi-bulk,48,512,0.0147782,213070600000.0
mpi-bulk,48,4096,0.02259502,1113913000000.0
mpi-bulk,48,32768,0.09492149,2121012000000.0
mpi-bulk,48,262144,0.6739435,2389838000000.0
mpi-bulk,48,2097152,5.334765,2415271000000.0
mpi-bulk,48,16777216,42.37714,2432425000000.0
mpi-bulk,96,64,0.01662958,47660630000.0
mpi-bulk,96,512,0.02174394,289625500000.0
mpi-bulk,96,4096,0.0273508,1840451000000.0
mpi-bulk,96,32768,0.1014712,3968215000000.0
mpi-bulk,96,262144,0.6855226,4698943000000.0
mpi-bulk,96,2097152,7.649054,3369019000000.0
mpi-bulk,96,16777216,47.66452,4325197000000.0
mpi-bulk,96,64,0.02032994,38985660000.0
mpi-bulk,96,512,0.01921629,327722000000.0
mpi-bulk,96,4096,0.03014602,1669799000000.0
mpi-bulk,96,32768,0.102917,3912465000000.0
mpi-bulk,96,262144,0.6865738,4691749000000.0
mpi-bulk,96,2097152,6.679584,3857996000000.0
mpi-bulk,96,16777216,52.75674,3907717000000.0
mpi-bulk,96,64,0.01883508,42079770000.0
mpi-bulk,96,512,0.02062283,305370400000.0
mpi-bulk,96,4096,0.02920268,1723739000000.0
mpi-bulk,96,32768,0.1023476,3934233000000.0
mpi-bulk,96,262144,0.6839752,4709573000000.0
mpi-bulk,96,2097152,8.440086,3053264000000.0
mpi-bulk,96,16777216,49.40986,4172415000000.0
mpi-bulk,96,64,0.01789681,44285870000.0
mpi-bulk,96,512,0.01938647,324845200000.0
mpi-bulk,96,4096,0.02992285,1682252000000.0
mpi-bulk,96,32768,0.1043464,3858870000000.0
mpi-bulk,96,262144,0.7090769,4542852000000.0
mpi-bulk,96,2097152,7.461885,3453525000000.0
mpi-bulk,96,16777216,51.76305,3982733000000.0
mpi-bulk,96,64,0.0217637,36417340000.0
mpi-bulk,96,512,0.02088496,301537600000.0
mpi-bulk,96,4096,0.02890132,1741713000000.0
mpi-bulk,96,32768,0.1053055,3823727000000.0
mpi-bulk,96,262144,0.6824178,4720321000000.0
mpi-bulk,96,2097152,9.072627,2840391000000.0
mpi-bulk,96,16777216,47.49527,4340609000000.0
mpi-bulk,96,64,0.01845493,42946570000.0
mpi-bulk,96,512,0.01983116,317560800000.0
mpi-bulk,96,4096,0.02868284,1754979000000.0
mpi-bulk,96,32768,0.1013459,3973119000000.0
mpi-bulk,96,262144,0.6860979,4695003000000.0
mpi-bulk,96,2097152,7.991145,3224796000000.0
mpi-bulk,96,16777216,46.89558,4396116000000.0
mpi-bulk,96,64,0.01632324,48555060000.0
mpi-bulk,96,512,0.01940033,324613100000.0
mpi-bulk,96,4096,0.0280171,1796681000000.0
mpi-bulk,96,32768,0.1016114,3962737000000.0
mpi-bulk,96,262144,0.6987232,4610169000000.0
mpi-bulk,96,2097152,8.116577,3174960000000.0
mpi-bulk,96,16777216,48.41269,4258356000000.0
mpi-bulk,96,64,0.01662438,47675530000.0
