framework,ncpu,iter,elapsed,flops
hpx-local-join,48,64,0.007400036,53552170000.0
hpx-local-join,48,512,0.00742197,424253900000.0
hpx-local-join,48,4096,0.01649284,1526050000000.0
hpx-local-join,48,32768,0.08930397,2254431000000.0
hpx-local-join,48,262144,0.6696711,2405085000000.0
hpx-local-join,48,2097152,5.310864,2426141000000.0
hpx-local-join,48,16777216,42.37271,2432679000000.0
hpx-local-join,48,64,0.00800705,49492390000.0
hpx-local-join,48,512,0.007356882,428007400000.0
hpx-local-join,48,4096,0.01611304,1562020000000.0
hpx-local-join,48,32768,0.09033203,2228774000000.0
hpx-local-join,48,262144,0.6696439,2405183000000.0
hpx-local-join,48,2097152,5.324411,2419968000000.0
hpx-local-join,48,16777216,42.38313,2432081000000.0
hpx-local-join,48,64,0.006366014,62250570000.0
hpx-local-join,48,512,0.009401083,334940100000.0
hpx-local-join,48,4096,0.01641202,1533565000000.0
hpx-local-join,48,32768,0.09029603,2229662000000.0
hpx-local-join,48,262144,0.6682141,2410329000000.0
hpx-local-join,48,2097152,5.312437,2425423000000.0
hpx-local-join,48,16777216,42.41566,2430216000000.0
hpx-local-join,48,64,0.007536888,52579790000.0
hpx-local-join,48,512,0.00779295,404057500000.0
hpx-local-join,48,4096,0.01697803,1482440000000.0
hpx-local-join,48,32768,0.09297681,2165375000000.0
hpx-local-join,48,262144,0.6685169,2409237000000.0
hpx-local-join,48,2097152,5.337652,2413965000000.0
hpx-local-join,48,16777216,42.37778,2432389000000.0
hpx-local-join,48,64,0.006362915,62280890000.0
hpx-local-join,48,512,0.03202796,98314100000.0
hpx-local-join,48,4096,0.01628709,1545328000000.0
hpx-local-join,48,32768,0.08932304,2253950000000.0
hpx-local-join,48,262144,0.66801,2411065000000.0
hpx-local-join,48,2097152,5.337942,2413834000000.0
hpx-local-join,48,16777216,42.36205,2433291000000.0
hpx-plainmpi-join,48,64,0.0158846,24947940000.0
hpx-plainmpi-join,48,512,0.01784008,176501500000.0
hpx-plainmpi-join,48,4096,0.02731883,921302200000.0
hpx-plainmpi-join,48,32768,0.09831112,2047883000000.0
hpx-plainmpi-join,48,262144,0.688524,2339230000000.0
hpx-plainmpi-join,48,2097152,5.319311,2422288000000.0
hpx-plainmpi-join,48,16777216,42.36055,2433378000000.0
hpx-plainmpi-join,48,64,0.0164002,24163600000.0
hpx-plainmpi-join,48,512,0.01739512,181016300000.0
hpx-plainmpi-join,48,4096,0.0235429,1069065000000.0
hpx-plainmpi-join,48,32768,0.09843043,2045401000000.0
hpx-plainmpi-join,48,262144,0.6872849,2343447000000.0
hpx-plainmpi-join,48,2097152,5.357944,2404822000000.0
hpx-plainmpi-join,48,16777216,42.36508,2433117000000.0
hpx-plainmpi-join,48,64,0.04692291,8445511000.0
hpx-plainmpi-join,48,512,0.02157428,145951600000.0
hpx-plainmpi-join,48,4096,0.03915227,642846500000.0
hpx-plainmpi-join,48,32768,0.09821369,2049914000000.0
hpx-plainmpi-join,48,262144,0.6847,2352294000000.0
hpx-plainmpi-join,48,2097152,5.319145,2422364000000.0
hpx-plainmpi-join,48,16777216,42.45516,2427955000000.0
hpx-plainmpi-join,48,64,0.03242282,12222500000.0
hpx-plainmpi-join,48,512,0.02094935,150305400000.0
hpx-plainmpi-join,48,4096,0.02954751,851811000000.0
hpx-plainmpi-join,48,32768,0.09872252,2039349000000.0
hpx-plainmpi-join,48,262144,0.6865927,2345810000000.0
