framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.09755726,64993710000.0
hpx-plainmpi-join,48,512,0.1188949,423742200000.0
hpx-plainmpi-join,48,4096,0.2587138,1556555000000.0
hpx-plainmpi-join,48,32768,1.436878,2241857000000.0
hpx-plainmpi-join,48,262144,10.71472,2405088000000.0
hpx-plainmpi-join,48,2097152,86.35081,2387453000000.0
hpx-plainmpi-join,48,16777216,695.3487,2371857000000.0
hpx-plainmpi-join,48,64,0.1548334,40951170000.0
hpx-plainmpi-join,48,512,0.2082023,241980000000.0
hpx-plainmpi-join,48,4096,0.4400322,915165700000.0
hpx-plainmpi-join,48,32768,1.428281,2255351000000.0
hpx-plainmpi-join,48,262144,10.75366,2396380000000.0
hpx-plainmpi-join,48,2097152,86.88795,2372694000000.0
hpx-plainmpi-join,48,16777216,692.8218,2380508000000.0
hpx-plainmpi-join,48,64,0.1286709,49277720000.0
hpx-plainmpi-join,48,512,0.1193918,421978700000.0
hpx-plainmpi-join,48,4096,0.4455522,903827600000.0
hpx-plainmpi-join,48,32768,1.425588,2259611000000.0
hpx-plainmpi-join,48,262144,10.72386,2403038000000.0
hpx-plainmpi-join,48,2097152,86.53921,2382255000000.0
hpx-plainmpi-join,48,16777216,698.9641,2359588000000.0
hpx-plainmpi-join,48,64,0.1286902,49270320000.0
hpx-plainmpi-join,48,512,0.2004433,251346900000.0
hpx-plainmpi-join,48,4096,0.2520423,1597757000000.0
hpx-plainmpi-join,48,32768,1.433996,2246362000000.0
hpx-plainmpi-join,48,262144,10.76261,2394387000000.0
hpx-plainmpi-join,48,2097152,86.68968,2378120000000.0
hpx-plainmpi-join,48,16777216,690.6641,2387944000000.0
hpx-plainmpi-join,48,64,0.0818913,77427130000.0
hpx-plainmpi-join,48,512,0.1363135,369595100000.0
hpx-plainmpi-join,48,4096,0.2735052,1472375000000.0
hpx-plainmpi-join,48,32768,1.43367,2246872000000.0
hpx-plainmpi-join,48,262144,10.71864,2404209000000.0
hpx-plainmpi-join,48,2097152,86.64406,2379372000000.0
hpx-plainmpi-join,48,16777216,688.4998,2395451000000.0
hpx-plainmpi-join,96,64,0.1282886,98849140000.0
hpx-plainmpi-join,96,512,0.19464,517681800000.0
hpx-plainmpi-join,96,4096,0.3253547,2475466000000.0
hpx-plainmpi-join,96,32768,1.645834,3914460000000.0
hpx-plainmpi-join,96,262144,10.83032,4758835000000.0
hpx-plainmpi-join,96,2097152,86.75338,4752748000000.0
hpx-plainmpi-join,96,16777216,693.6842,4755096000000.0
hpx-plainmpi-join,96,64,0.288948,43887530000.0
hpx-plainmpi-join,96,512,0.1687962,596942400000.0
hpx-plainmpi-join,96,4096,0.3465691,2323937000000.0
hpx-plainmpi-join,96,32768,1.498142,4300361000000.0
hpx-plainmpi-join,96,262144,10.83781,4755545000000.0
hpx-plainmpi-join,96,2097152,85.46959,4824136000000.0
hpx-plainmpi-join,96,16777216,683.9266,4822937000000.0
hpx-plainmpi-join,96,64,0.1653012,76715800000.0
hpx-plainmpi-join,96,512,0.3503301,287619100000.0
hpx-plainmpi-join,96,4096,0.3172884,2538399000000.0
hpx-plainmpi-join,96,32768,1.487165,4332102000000.0
hpx-plainmpi-join,96,262144,10.80165,4771467000000.0
hpx-plainmpi-join,96,2097152,85.41555,4827188000000.0
hpx-plainmpi-join,96,16777216,688.4629,4791159000000.0
hpx-plainmpi-join,96,64,0.2172643,58367690000.0
hpx-plainmpi-join,96,512,0.1661442,606470600000.0
hpx-plainmpi-join,96,4096,0.3194029,2521594000000.0
hpx-plainmpi-join,96,32768,1.457809,4419336000000.0
hpx-plainmpi-join,96,262144,10.88088,4736722000000.0
hpx-plainmpi-join,96,2097152,87.71435,4700678000000.0
hpx-plainmpi-join,96,16777216,688.3496,4791947000000.0
hpx-plainmpi-join,96,64,0.3166856,40043550000.0
hpx-plainmpi-join,96,512,0.1878578,536371700000.0
hpx-plainmpi-join,96,4096,0.3354416,2401028000000.0
hpx-plainmpi-join,96,32768,1.515646,4250695000000.0
hpx-plainmpi-join,96,262144,10.83376,4757323000000.0
hpx-plainmpi-join,96,2097152,85.36889,4829827000000.0
hpx-plainmpi-join,96,16777216,683.9385,4822853000000.0
hpx-plainmpi-join,192,64,0.1668048,152048500000.0
hpx-plainmpi-join,192,512,0.1883442,1069973000000.0
hpx-plainmpi-join,192,4096,0.3593333,4482772000000.0
hpx-plainmpi-join,192,32768,1.551967,8302429000000.0
hpx-plainmpi-join,192,262144,10.89947,9457282000000.0
hpx-plainmpi-join,192,2097152,86.62904,9519140000000.0
hpx-plainmpi-join,192,16777216,694.5255,9498672000000.0
hpx-plainmpi-join,192,64,0.1780942,142410200000.0
hpx-plainmpi-join,192,512,0.242421,831294300000.0
hpx-plainmpi-join,192,4096,0.3498357,4604473000000.0
hpx-plainmpi-join,192,32768,1.557867,8270987000000.0
hpx-plainmpi-join,192,262144,11.12656,9264267000000.0
hpx-plainmpi-join,192,2097152,88.04776,9365757000000.0
hpx-plainmpi-join,192,16777216,706.7641,9334189000000.0
hpx-plainmpi-join,192,64,0.17212,147353200000.0
hpx-plainmpi-join,192,512,0.2436545,827086100000.0
hpx-plainmpi-join,192,4096,0.3539636,4550777000000.0
