framework,ncpu,iter,elapsed,flops
mpi-non,48,64,0.006330904,1001533000000.0
mpi-non,48,512,0.02464379,2044360000000.0
mpi-non,48,4096,0.1742748,2310732000000.0
mpi-non,48,32768,1.359118,2370121000000.0
mpi-non,48,262144,10.63228,2423736000000.0
mpi-non,48,2097152,84.64908,2435449000000.0
mpi-non,48,16777216,676.8298,2436754000000.0
mpi-non,48,64,0.006272393,1010875000000.0
mpi-non,48,512,0.02429198,2073968000000.0
mpi-non,48,4096,0.1831898,2198280000000.0
mpi-non,48,32768,1.326638,2428148000000.0
mpi-non,48,262144,10.64075,2421809000000.0
mpi-non,48,2097152,84.67124,2434811000000.0
mpi-non,48,16777216,677.2988,2435066000000.0
mpi-non,48,64,0.006292481,1007648000000.0
mpi-non,48,512,0.02450907,2055598000000.0
mpi-non,48,4096,0.1829338,2201355000000.0
mpi-non,48,32768,1.365857,2358427000000.0
mpi-non,48,262144,10.58199,2435256000000.0
mpi-non,48,2097152,84.70313,2433894000000.0
mpi-non,48,16777216,676.8016,2436855000000.0
mpi-non,48,64,0.006268056,1011575000000.0
mpi-non,48,512,0.02450927,2055581000000.0
mpi-non,48,4096,0.1950091,2065044000000.0
mpi-non,48,32768,1.327482,2426605000000.0
mpi-non,48,262144,10.58371,2434860000000.0
mpi-non,48,2097152,84.75076,2432527000000.0
mpi-non,48,16777216,676.7804,2436931000000.0
mpi-non,48,64,0.006215817,1020076000000.0
mpi-non,48,512,0.02444286,2061167000000.0
mpi-non,48,4096,0.1948602,2066622000000.0
mpi-non,48,32768,1.337298,2408793000000.0
mpi-non,48,262144,10.58269,2435096000000.0
mpi-non,48,2097152,84.78453,2431558000000.0
mpi-non,48,16777216,677.301,2435058000000.0
mpi-non,96,64,0.006213971,2040759000000.0
mpi-non,96,512,0.02457509,4100152000000.0
mpi-non,96,4096,0.1694345,4753486000000.0
mpi-non,96,32768,1.328341,4850072000000.0
mpi-non,96,262144,10.70396,4815011000000.0
mpi-non,96,2097152,86.88781,4745395000000.0
mpi-non,96,16777216,687.6951,4796508000000.0
mpi-non,96,64,0.006236473,2033395000000.0
mpi-non,96,512,0.02438148,4132710000000.0
mpi-non,96,4096,0.1907826,4221583000000.0
mpi-non,96,32768,1.411075,4565703000000.0
mpi-non,96,262144,10.64827,4840194000000.0
mpi-non,96,2097152,86.25105,4780428000000.0
mpi-non,96,16777216,690.9518,4773900000000.0
mpi-non,96,64,0.006244999,2030619000000.0
mpi-non,96,512,0.02440364,4128957000000.0
mpi-non,96,4096,0.170194,4732274000000.0
mpi-non,96,32768,1.454571,4429175000000.0
mpi-non,96,262144,10.62906,4848942000000.0
mpi-non,96,2097152,86.10528,4788521000000.0
mpi-non,96,16777216,694.1604,4751834000000.0
mpi-non,96,64,0.006357008,1994840000000.0
mpi-non,96,512,0.02443082,4124364000000.0
