framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.01124984,35226110000.0
hpx-plainmpi-join,48,512,0.01077027,292360300000.0
hpx-plainmpi-join,48,4096,0.02274236,1106697000000.0
hpx-plainmpi-join,48,32768,0.09490036,2121485000000.0
hpx-plainmpi-join,48,262144,0.6831117,2357763000000.0
hpx-plainmpi-join,48,2097152,5.320422,2421782000000.0
hpx-plainmpi-join,48,16777216,42.38109,2432198000000.0
hpx-plainmpi-join,48,64,0.01394465,28418640000.0
hpx-plainmpi-join,48,512,0.01206634,260957300000.0
hpx-plainmpi-join,48,4096,0.02318842,1085408000000.0
hpx-plainmpi-join,48,32768,0.09421597,2136895000000.0
hpx-plainmpi-join,48,262144,0.6792563,2371146000000.0
hpx-plainmpi-join,48,2097152,5.303183,2429655000000.0
hpx-plainmpi-join,48,16777216,42.52611,2423904000000.0
hpx-plainmpi-join,48,64,0.01182922,33500770000.0
hpx-plainmpi-join,48,512,0.0143952,218739600000.0
hpx-plainmpi-join,48,4096,0.02200823,1143613000000.0
hpx-plainmpi-join,48,32768,0.09526033,2113468000000.0
hpx-plainmpi-join,48,262144,0.6836248,2355994000000.0
hpx-plainmpi-join,48,2097152,5.300045,2431094000000.0
hpx-plainmpi-join,48,16777216,42.40728,2430696000000.0
hpx-plainmpi-join,48,64,0.01156234,34274040000.0
hpx-plainmpi-join,48,512,0.0241908,130165200000.0
hpx-plainmpi-join,48,4096,0.0231568,1086890000000.0
hpx-plainmpi-join,48,32768,0.09439574,2132826000000.0
hpx-plainmpi-join,48,262144,0.6849376,2351478000000.0
hpx-plainmpi-join,48,2097152,5.300315,2430970000000.0
hpx-plainmpi-join,48,16777216,42.44093,2428769000000.0
hpx-plainmpi-join,48,64,0.02319357,17086110000.0
hpx-plainmpi-join,48,512,0.01356966,232047100000.0
hpx-plainmpi-join,48,4096,0.02172347,1158604000000.0
hpx-plainmpi-join,48,32768,0.09520518,2114692000000.0
hpx-plainmpi-join,48,262144,0.6830098,2358115000000.0
hpx-plainmpi-join,48,2097152,5.298219,2431931000000.0
hpx-plainmpi-join,48,16777216,42.36677,2433020000000.0
hpx-plainmpi-join,96,64,0.08202497,9662618000.0
hpx-plainmpi-join,96,512,0.08218531,76626830000.0
hpx-plainmpi-join,96,4096,0.08264494,609085000000.0
hpx-plainmpi-join,96,32768,0.1429471,2816842000000.0
hpx-plainmpi-join,96,262144,0.7337595,4390037000000.0
hpx-plainmpi-join,96,2097152,5.381557,4788542000000.0
hpx-plainmpi-join,96,16777216,42.55232,4844823000000.0
hpx-plainmpi-join,96,64,0.08255456,9600633000.0
hpx-plainmpi-join,96,512,0.08748294,71986610000.0
hpx-plainmpi-join,96,4096,0.08254737,609804900000.0
hpx-plainmpi-join,96,32768,0.14351,2805793000000.0
hpx-plainmpi-join,96,262144,0.7317646,4402005000000.0
hpx-plainmpi-join,96,2097152,5.413294,4760468000000.0
hpx-plainmpi-join,96,16777216,42.71378,4826509000000.0
hpx-plainmpi-join,96,64,0.08264475,9590155000.0
hpx-plainmpi-join,96,512,0.08261993,76223740000.0
hpx-plainmpi-join,96,4096,0.08255235,609768200000.0
hpx-plainmpi-join,96,32768,0.1382298,2912970000000.0
