framework,ncpu,iter,elapsed,flops
mpi-non,48,64,0.002188119,181109000000.0
mpi-non,48,512,0.003242093,971224500000.0
mpi-non,48,4096,0.01230241,2045851000000.0
mpi-non,48,32768,0.09329545,2157979000000.0
mpi-non,48,262144,0.6633209,2428109000000.0
mpi-non,48,2097152,5.329728,2417554000000.0
mpi-non,48,16777216,42.37766,2432395000000.0
mpi-non,48,64,0.002113528,187500700000.0
mpi-non,48,512,0.003269545,963069800000.0
mpi-non,48,4096,0.01220197,2062691000000.0
mpi-non,48,32768,0.09609354,2095143000000.0
mpi-non,48,262144,0.6632337,2428429000000.0
mpi-non,48,2097152,5.284506,2438242000000.0
mpi-non,48,16777216,42.32535,2435401000000.0
mpi-non,48,64,0.002084744,190089500000.0
mpi-non,48,512,0.003223658,976778600000.0
mpi-non,48,4096,0.01683126,1495366000000.0
mpi-non,48,32768,0.08473711,2375933000000.0
mpi-non,48,262144,0.6756508,2383799000000.0
mpi-non,48,2097152,5.298633,2431741000000.0
mpi-non,48,16777216,42.34919,2434031000000.0
mpi-non,48,64,0.003360486,117925800000.0
mpi-non,48,512,0.003252473,968124900000.0
mpi-non,48,4096,0.01228406,2048906000000.0
mpi-non,48,32768,0.08954377,2248394000000.0
mpi-non,48,262144,0.6629405,2429503000000.0
mpi-non,48,2097152,5.298892,2431623000000.0
mpi-non,48,16777216,42.37025,2432821000000.0
mpi-non,48,64,0.0020719,191267900000.0
mpi-non,48,512,0.003294752,955701700000.0
mpi-non,48,4096,0.01226014,2052905000000.0
mpi-non,48,32768,0.08649895,2327539000000.0
mpi-non,48,262144,0.6639713,2425731000000.0
mpi-non,48,2097152,5.290677,2435398000000.0
mpi-non,48,16777216,42.31207,2436166000000.0
mpi-non,96,64,0.002480603,319509400000.0
mpi-non,96,512,0.003521305,1788428000000.0
mpi-non,96,4096,0.01247233,4035959000000.0
mpi-non,96,32768,0.08513952,4729405000000.0
mpi-non,96,262144,0.6651223,4843067000000.0
mpi-non,96,2097152,5.308508,4854435000000.0
mpi-non,96,16777216,42.79197,4817689000000.0
mpi-non,96,64,0.003444862,230074800000.0
mpi-non,96,512,0.003572081,1763006000000.0
mpi-non,96,4096,0.01273329,3953242000000.0
mpi-non,96,32768,0.08538205,4715972000000.0
mpi-non,96,262144,0.6968254,4622724000000.0
mpi-non,96,2097152,5.44682,4731166000000.0
mpi-non,96,16777216,42.88894,4806797000000.0
mpi-non,96,64,0.002640964,300108600000.0
mpi-non,96,512,0.003629558,1735087000000.0
mpi-non,96,4096,0.01283094,3923158000000.0
mpi-non,96,32768,0.08571184,4697826000000.0
mpi-non,96,262144,0.6653787,4841200000000.0
mpi-non,96,2097152,5.313839,4849565000000.0
mpi-non,96,16777216,42.939,4801193000000.0
mpi-non,96,64,0.002503717,316559700000.0
mpi-non,96,512,0.003791271,1661079000000.0
mpi-non,96,4096,0.01258477,3999899000000.0
mpi-non,96,32768,0.08559357,4704317000000.0
mpi-non,96,262144,0.6658988,4837419000000.0
mpi-non,96,2097152,5.312206,4851056000000.0
mpi-non,96,16777216,42.76677,4820529000000.0
mpi-non,96,64,0.002503887,316538200000.0
mpi-non,96,512,0.003689059,1707102000000.0
mpi-non,96,4096,0.01261079,3991646000000.0
mpi-non,96,32768,0.08528434,4721375000000.0
mpi-non,96,262144,0.6644267,4848137000000.0
mpi-non,96,2097152,5.306304,4856452000000.0
mpi-non,96,16777216,42.87508,4808351000000.0
mpi-non,192,64,0.002519381,629183100000.0
mpi-non,192,512,0.003838278,3281472000000.0
mpi-non,192,4096,0.01266344,7950098000000.0
mpi-non,192,32768,0.08593542,9371208000000.0
mpi-non,192,262144,0.6640834,9701287000000.0
mpi-non,192,2097152,5.348359,9636529000000.0
mpi-non,192,16777216,43.05469,9576584000000.0
mpi-non,192,64,0.002655427,596948100000.0
mpi-non,192,512,0.003811047,3304919000000.0
mpi-non,192,4096,0.01291676,7794184000000.0
mpi-non,192,32768,0.08728158,9226674000000.0
mpi-non,192,262144,0.6782544,9498595000000.0
mpi-non,192,2097152,5.437045,9479344000000.0
mpi-non,192,16777216,43.09154,9568394000000.0
mpi-non,192,64,0.002656168,596781500000.0
mpi-non,192,512,0.00370613,3398478000000.0
mpi-non,192,4096,0.01275984,7890033000000.0
mpi-non,192,32768,0.08664029,9294967000000.0
mpi-non,192,262144,0.6770191,9515925000000.0
mpi-non,192,2097152,5.408065,9530140000000.0
mpi-non,192,16777216,43.39099,9502362000000.0
mpi-non,192,64,0.002574014,615828800000.0
mpi-non,192,512,0.003743201,3364821000000.0
mpi-non,192,4096,0.01274117,7901595000000.0
mpi-non,192,32768,0.08598799,9365478000000.0
mpi-non,192,262144,0.7181958,8970344000000.0
mpi-non,192,2097152,5.4315,9489022000000.0
mpi-non,192,16777216,43.20173,9543989000000.0
mpi-non,192,64,0.002810863,563937800000.0
mpi-non,192,512,0.003633218,3466679000000.0
mpi-non,192,4096,0.01275913,7890476000000.0
mpi-non,192,32768,0.08604485,9359290000000.0
mpi-non,192,262144,0.6760601,9529424000000.0
mpi-non,192,2097152,5.446051,9463667000000.0
mpi-non,192,16777216,43.2027,9543776000000.0
mpi-non,384,64,0.00270758,1170899000000.0
mpi-non,384,512,0.01432358,1758667000000.0
mpi-non,384,4096,0.0129857,15505600000000.0
mpi-non,384,32768,0.09605111,16768540000000.0
mpi-non,384,262144,0.6665857,19329740000000.0
mpi-non,384,2097152,5.374899,19177890000000.0
mpi-non,384,16777216,42.49807,19404030000000.0
mpi-non,384,64,0.002696308,1175794000000.0
mpi-non,384,512,0.003747165,6722522000000.0
mpi-non,384,4096,0.01277816,15757440000000.0
mpi-non,384,32768,0.1239567,12993550000000.0
mpi-non,384,262144,0.6654921,19361500000000.0
mpi-non,384,2097152,5.352458,19258300000000.0
mpi-non,384,16777216,42.4557,19423390000000.0
mpi-non,384,64,0.002833295,1118946000000.0
mpi-non,384,512,0.004544949,5542504000000.0
mpi-non,384,4096,0.01282678,15697710000000.0
mpi-non,384,32768,0.09877338,16306390000000.0
mpi-non,384,262144,0.6817431,18899970000000.0
mpi-non,384,2097152,6.78396,15194550000000.0
mpi-non,384,16777216,43.24292,19069800000000.0
mpi-non,384,64,0.002776325,1141907000000.0
mpi-non,384,512,0.4675824,53873710000.0
mpi-non,384,4096,0.02035025,9894285000000.0
mpi-non,384,32768,0.1062387,15160560000000.0
mpi-non,384,262144,0.7029421,18330000000000.0
mpi-non,384,2097152,5.341827,19296630000000.0
mpi-non,384,16777216,42.79189,19270790000000.0
mpi-non,384,64,0.002728949,1161731000000.0
mpi-non,384,512,0.009971927,2526132000000.0
mpi-non,384,4096,0.0171706,11726510000000.0
mpi-non,384,32768,0.08536198,18868320000000.0
mpi-non,384,262144,0.6648333,19380690000000.0
mpi-non,384,2097152,5.45019,18912960000000.0
mpi-openmp,48,64,0.02598148,15252710000.0
mpi-openmp,48,512,0.02783521,113122900000.0
mpi-openmp,48,4096,0.03596587,699799500000.0
mpi-openmp,48,32768,0.1086091,1853709000000.0
mpi-openmp,48,262144,0.6881287,2340574000000.0
mpi-openmp,48,2097152,5.313323,2425018000000.0
mpi-openmp,48,16777216,42.37774,2432391000000.0
mpi-openmp,48,64,0.02951639,13426030000.0
mpi-openmp,48,512,0.02902743,108476700000.0
mpi-openmp,48,4096,0.03528649,713272800000.0
mpi-openmp,48,32768,0.1071095,1879662000000.0
mpi-openmp,48,262144,0.6878705,2341452000000.0
mpi-openmp,48,2097152,5.310312,2426393000000.0
mpi-openmp,48,16777216,42.36709,2433002000000.0
mpi-openmp,48,64,0.02707486,14636750000.0
mpi-openmp,48,512,0.02964212,106227200000.0
mpi-openmp,48,4096,0.03670087,685784700000.0
mpi-openmp,48,32768,0.1087053,1852069000000.0
mpi-openmp,48,262144,0.6896967,2335252000000.0
mpi-openmp,48,2097152,5.322902,2420654000000.0
mpi-openmp,48,16777216,42.37524,2432534000000.0
mpi-openmp,48,64,0.02734656,14491330000.0
mpi-openmp,48,512,0.02970345,106007900000.0
mpi-openmp,48,4096,0.03763605,668744300000.0
mpi-openmp,48,32768,0.1079804,1864503000000.0
mpi-openmp,48,262144,0.6960026,2314095000000.0
mpi-openmp,48,2097152,5.311968,2425637000000.0
mpi-openmp,48,16777216,42.39041,2431664000000.0
mpi-openmp,48,64,0.02785673,14225930000.0
mpi-openmp,48,512,0.02900301,108568000000.0
mpi-openmp,48,4096,0.0370696,678963300000.0
mpi-openmp,48,32768,0.1079026,1865847000000.0
mpi-openmp,48,262144,0.6869888,2344457000000.0
