framework,ncpu,iter,elapsed,flops
mpi-non,48,64,0.002459282,322279400000.0
mpi-non,48,512,0.00472061,1334065000000.0
mpi-non,48,4096,0.02278637,2209118000000.0
mpi-non,48,32768,0.1676392,2401941000000.0
mpi-non,48,262144,1.325592,2430032000000.0
mpi-non,48,2097152,10.58111,2435455000000.0
mpi-non,48,16777216,84.69432,2434147000000.0
mpi-non,48,64,0.003990976,198592000000.0
mpi-non,48,512,0.004791414,1314351000000.0
mpi-non,48,4096,0.02290014,2198144000000.0
mpi-non,48,32768,0.1677102,2400923000000.0
mpi-non,48,262144,1.324543,2431957000000.0
mpi-non,48,2097152,10.58132,2435405000000.0
mpi-non,48,16777216,84.62868,2436035000000.0
mpi-non,48,64,0.002500099,317017800000.0
mpi-non,48,512,0.004748543,1326217000000.0
mpi-non,48,4096,0.02282172,2205697000000.0
mpi-non,48,32768,0.1684147,2390880000000.0
mpi-non,48,262144,1.325543,2430123000000.0
mpi-non,48,2097152,10.58538,2434471000000.0
mpi-non,48,16777216,84.65752,2435205000000.0
mpi-non,48,64,0.002530015,313269300000.0
mpi-non,48,512,0.004747591,1326483000000.0
mpi-non,48,4096,0.02296823,2191627000000.0
mpi-non,48,32768,0.1712022,2351952000000.0
mpi-non,48,262144,1.325057,2431013000000.0
mpi-non,48,2097152,10.58106,2435465000000.0
mpi-non,48,16777216,84.6895,2434286000000.0
mpi-non,48,64,0.002491943,318055400000.0
mpi-non,48,512,0.004700442,1339789000000.0
mpi-non,48,4096,0.02283591,2204326000000.0
mpi-non,48,32768,0.1710358,2354240000000.0
mpi-non,48,262144,1.324574,2431900000000.0
mpi-non,48,2097152,10.58547,2434451000000.0
mpi-non,48,16777216,84.68973,2434279000000.0
mpi-non,96,64,0.002665662,594656000000.0
mpi-non,96,512,0.004767926,2641652000000.0
mpi-non,96,4096,0.02287716,4400704000000.0
mpi-non,96,32768,0.1888778,4263703000000.0
mpi-non,96,262144,1.383699,4655971000000.0
mpi-non,96,2097152,10.60637,4859309000000.0
