framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.03089234,51312140000.0
hpx-plainmpi-join,48,512,0.1057136,119144600000.0
hpx-plainmpi-join,48,4096,0.1383374,727753900000.0
hpx-plainmpi-join,48,32768,0.3866488,2082817000000.0
hpx-plainmpi-join,48,262144,2.680163,2403758000000.0
hpx-plainmpi-join,48,2097152,21.23094,2427571000000.0
hpx-plainmpi-join,48,16777216,169.3976,2434019000000.0
hpx-plainmpi-join,48,64,0.03293812,48125160000.0
hpx-plainmpi-join,48,512,0.03396329,370847500000.0
hpx-plainmpi-join,48,4096,0.1251335,804545300000.0
hpx-plainmpi-join,48,32768,0.4138275,1946025000000.0
hpx-plainmpi-join,48,262144,2.698916,2387056000000.0
hpx-plainmpi-join,48,2097152,21.22581,2428158000000.0
hpx-plainmpi-join,48,16777216,169.4205,2433689000000.0
hpx-plainmpi-join,48,64,0.03017388,52533920000.0
hpx-plainmpi-join,48,512,0.05798876,217200700000.0
hpx-plainmpi-join,48,4096,0.1081067,931261400000.0
hpx-plainmpi-join,48,32768,0.417449,1929142000000.0
hpx-plainmpi-join,48,262144,2.676537,2407015000000.0
hpx-plainmpi-join,48,2097152,21.23235,2427410000000.0
hpx-plainmpi-join,48,16777216,169.53,2432118000000.0
hpx-plainmpi-join,48,64,0.05319078,29801250000.0
hpx-plainmpi-join,48,512,0.09422242,133675200000.0
hpx-plainmpi-join,48,4096,0.06940895,1450470000000.0
hpx-plainmpi-join,48,32768,0.384348,2095285000000.0
hpx-plainmpi-join,48,262144,2.712809,2374832000000.0
hpx-plainmpi-join,48,2097152,21.24834,2425584000000.0
hpx-plainmpi-join,48,16777216,169.4626,2433085000000.0
hpx-plainmpi-join,48,64,0.03062058,51767540000.0
hpx-plainmpi-join,48,512,0.09029974,139482100000.0
hpx-plainmpi-join,48,4096,0.07202181,1397849000000.0
hpx-plainmpi-join,48,32768,0.4061892,1982619000000.0
hpx-plainmpi-join,48,262144,2.681473,2402584000000.0
hpx-plainmpi-join,48,2097152,21.22182,2428615000000.0
hpx-plainmpi-join,48,16777216,169.397,2434027000000.0
hpx-plainmpi-join,96,64,0.08246525,38444120000.0
hpx-plainmpi-join,96,512,0.08633064,291789800000.0
hpx-plainmpi-join,96,4096,0.1319385,1526099000000.0
hpx-plainmpi-join,96,32768,0.4148562,3882399000000.0
hpx-plainmpi-join,96,262144,2.772014,4648219000000.0
hpx-plainmpi-join,96,2097152,21.47515,4799930000000.0
hpx-plainmpi-join,96,16777216,172.6421,4776551000000.0
hpx-plainmpi-join,96,64,0.08233352,38505630000.0
hpx-plainmpi-join,96,512,0.08210376,306811800000.0
hpx-plainmpi-join,96,4096,0.1435276,1402875000000.0
hpx-plainmpi-join,96,32768,0.4384209,3673724000000.0
hpx-plainmpi-join,96,262144,2.743772,4696063000000.0
hpx-plainmpi-join,96,2097152,21.54755,4783804000000.0
hpx-plainmpi-join,96,16777216,173.125,4763228000000.0
hpx-plainmpi-join,96,64,0.0955428,33182030000.0
hpx-plainmpi-join,96,512,0.08365207,301133000000.0
hpx-plainmpi-join,96,4096,0.1494829,1346985000000.0
hpx-plainmpi-join,96,32768,0.4312647,3734684000000.0
hpx-plainmpi-join,96,262144,2.748009,4688823000000.0
hpx-plainmpi-join,96,2097152,21.42229,4811775000000.0
hpx-plainmpi-join,96,16777216,174.2472,4732550000000.0
hpx-plainmpi-join,96,64,0.1026656,30879900000.0
hpx-plainmpi-join,96,512,0.0823747,305802600000.0
hpx-plainmpi-join,96,4096,0.1425687,1412310000000.0
hpx-plainmpi-join,96,32768,0.4191676,3842466000000.0
hpx-plainmpi-join,96,262144,2.738404,4705268000000.0
hpx-plainmpi-join,96,2097152,21.42127,4812005000000.0
hpx-plainmpi-join,96,16777216,171.0274,4821648000000.0
hpx-plainmpi-join,96,64,0.08905932,35597660000.0
hpx-plainmpi-join,96,512,0.08281124,304190600000.0
hpx-plainmpi-join,96,4096,0.124007,1623708000000.0
hpx-plainmpi-join,96,32768,0.4143332,3887299000000.0
hpx-plainmpi-join,96,262144,2.813036,4580435000000.0
hpx-plainmpi-join,96,2097152,21.40429,4815822000000.0
hpx-plainmpi-join,96,16777216,172.4467,4781962000000.0
hpx-plainmpi-join,192,64,0.08700388,72877300000.0
hpx-plainmpi-join,192,512,0.09006861,559360200000.0
hpx-plainmpi-join,192,4096,0.1500077,2684544000000.0
hpx-plainmpi-join,192,32768,0.4274543,7535950000000.0
hpx-plainmpi-join,192,262144,2.792273,9228986000000.0
hpx-plainmpi-join,192,2097152,21.56908,9558056000000.0
hpx-plainmpi-join,192,16777216,172.7994,9544403000000.0
hpx-plainmpi-join,192,64,0.09216643,68795200000.0
hpx-plainmpi-join,192,512,0.08935118,563851500000.0
hpx-plainmpi-join,192,4096,0.1908166,2110416000000.0
hpx-plainmpi-join,192,32768,0.4302967,7486171000000.0
hpx-plainmpi-join,192,262144,2.792394,9228587000000.0
hpx-plainmpi-join,192,2097152,21.73038,9487111000000.0
hpx-plainmpi-join,192,16777216,175.0698,9420626000000.0
hpx-plainmpi-join,192,64,0.08777676,72235620000.0
hpx-plainmpi-join,192,512,0.1071483,470196800000.0
hpx-plainmpi-join,192,4096,0.133961,3006116000000.0
hpx-plainmpi-join,192,32768,0.4503122,7153425000000.0
hpx-plainmpi-join,192,262144,2.845102,9057621000000.0
hpx-plainmpi-join,192,2097152,21.64115,9526227000000.0
hpx-plainmpi-join,192,16777216,172.2388,9575471000000.0
hpx-plainmpi-join,192,64,0.09065707,69940580000.0
hpx-plainmpi-join,192,512,0.1029226,489501900000.0
hpx-plainmpi-join,192,4096,0.14021,2872137000000.0
hpx-plainmpi-join,192,32768,0.4354373,7397792000000.0
hpx-plainmpi-join,192,262144,2.811621,9165477000000.0
hpx-plainmpi-join,192,2097152,21.65983,9518012000000.0
hpx-plainmpi-join,192,16777216,172.4799,9562085000000.0
hpx-plainmpi-join,192,64,0.09001632,70438430000.0
hpx-plainmpi-join,192,512,0.1109433,454113200000.0
hpx-plainmpi-join,192,4096,0.1467978,2743244000000.0
hpx-plainmpi-join,192,32768,0.4399951,7321159000000.0
hpx-plainmpi-join,192,262144,2.83216,9099009000000.0
hpx-plainmpi-join,192,2097152,24.96787,8256950000000.0
hpx-plainmpi-join,192,16777216,175.7264,9385429000000.0
hpx-plainmpi-join,384,64,0.09229449,137399500000.0
hpx-plainmpi-join,384,512,0.1204941,836236900000.0
hpx-plainmpi-join,384,4096,0.162336,4961343000000.0
hpx-plainmpi-join,384,32768,0.4575566,14080330000000.0
hpx-plainmpi-join,384,262144,2.881765,17884770000000.0
hpx-plainmpi-join,384,2097152,22.18817,18582740000000.0
hpx-plainmpi-join,384,16777216,174.0619,18950350000000.0
hpx-plainmpi-join,384,64,0.1315107,96427260000.0
hpx-plainmpi-join,384,512,0.1105449,911499600000.0
hpx-plainmpi-join,384,4096,0.1581594,5092361000000.0
hpx-plainmpi-join,384,32768,0.4539588,14191920000000.0
hpx-plainmpi-join,384,262144,2.887886,17846860000000.0
hpx-plainmpi-join,384,2097152,22.0503,18698930000000.0
hpx-plainmpi-join,384,16777216,175.8854,18753890000000.0
hpx-plainmpi-join,384,64,0.1213198,104527100000.0
hpx-plainmpi-join,384,512,0.1153481,873543700000.0
hpx-plainmpi-join,384,4096,0.14512,5549923000000.0
hpx-plainmpi-join,384,32768,0.4589818,14036610000000.0
hpx-plainmpi-join,384,262144,3.087007,16695690000000.0
hpx-plainmpi-join,384,2097152,22.02636,18719250000000.0
hpx-plainmpi-join,384,16777216,174.6515,18886380000000.0
hpx-plainmpi-join,384,64,0.1282956,98843750000.0
hpx-plainmpi-join,384,512,0.1240234,812440300000.0
hpx-plainmpi-join,384,4096,0.1419159,5675224000000.0
hpx-plainmpi-join,384,32768,0.4424806,14560070000000.0
hpx-plainmpi-join,384,262144,2.951341,17463150000000.0
hpx-plainmpi-join,384,2097152,22.12421,18636460000000.0
hpx-plainmpi-join,384,16777216,173.6187,18998730000000.0
