framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.04663187,42491110000.0
hpx-plainmpi-join,48,512,0.05329384,295418700000.0
hpx-plainmpi-join,48,4096,0.09945421,1265351000000.0
hpx-plainmpi-join,48,32768,0.4720143,2132665000000.0
hpx-plainmpi-join,48,262144,3.43751,2342707000000.0
hpx-plainmpi-join,48,2097152,27.84023,2314080000000.0
hpx-plainmpi-join,48,16777216,221.0178,2331922000000.0
hpx-plainmpi-join,48,64,0.04753694,41682110000.0
hpx-plainmpi-join,48,512,0.04637557,339489100000.0
hpx-plainmpi-join,48,4096,0.0981099,1282689000000.0
hpx-plainmpi-join,48,32768,0.4721113,2132227000000.0
hpx-plainmpi-join,48,262144,3.506872,2296371000000.0
hpx-plainmpi-join,48,2097152,28.48934,2261356000000.0
hpx-plainmpi-join,48,16777216,218.1403,2362682000000.0
hpx-plainmpi-join,48,64,0.08418485,23536780000.0
hpx-plainmpi-join,48,512,0.06593626,238776100000.0
hpx-plainmpi-join,48,4096,0.1073187,1172624000000.0
hpx-plainmpi-join,48,32768,0.8071486,1247166000000.0
hpx-plainmpi-join,48,262144,3.437828,2342490000000.0
hpx-plainmpi-join,48,2097152,28.08487,2293922000000.0
hpx-plainmpi-join,48,16777216,218.1898,2362146000000.0
hpx-plainmpi-join,48,64,0.07498427,26424740000.0
hpx-plainmpi-join,48,512,0.05411689,290925800000.0
hpx-plainmpi-join,48,4096,0.1199266,1049345000000.0
hpx-plainmpi-join,48,32768,0.4719573,2132923000000.0
hpx-plainmpi-join,48,262144,3.48198,2312787000000.0
hpx-plainmpi-join,48,2097152,28.60765,2252004000000.0
hpx-plainmpi-join,48,16777216,218.0762,2363377000000.0
hpx-plainmpi-join,48,64,0.048024,41259370000.0
hpx-plainmpi-join,48,512,0.05256531,299513100000.0
hpx-plainmpi-join,48,4096,0.116906,1076459000000.0
hpx-plainmpi-join,48,32768,0.4930284,2041765000000.0
hpx-plainmpi-join,48,262144,4.070709,1978299000000.0
hpx-plainmpi-join,48,2097152,28.56277,2255542000000.0
hpx-plainmpi-join,48,16777216,218.6505,2357168000000.0
hpx-plainmpi-join,96,64,0.09518691,41632610000.0
hpx-plainmpi-join,96,512,0.1018388,309194400000.0
hpx-plainmpi-join,96,4096,0.1382544,1820478000000.0
hpx-plainmpi-join,96,32768,0.5384559,3739019000000.0
hpx-plainmpi-join,96,262144,3.511314,4586932000000.0
hpx-plainmpi-join,96,2097152,27.80745,4633617000000.0
hpx-plainmpi-join,96,16777216,214.4042,4807705000000.0
hpx-plainmpi-join,96,64,0.1159074,34190060000.0
hpx-plainmpi-join,96,512,0.09376332,335824300000.0
hpx-plainmpi-join,96,4096,0.1337265,1882117000000.0
hpx-plainmpi-join,96,32768,0.5398042,3729680000000.0
hpx-plainmpi-join,96,262144,3.517629,4578697000000.0
hpx-plainmpi-join,96,2097152,27.74309,4644365000000.0
hpx-plainmpi-join,96,16777216,214.6079,4803142000000.0
hpx-plainmpi-join,96,64,0.1041248,38058960000.0
hpx-plainmpi-join,96,512,0.09678531,325338600000.0
hpx-plainmpi-join,96,4096,0.1394721,1804582000000.0
hpx-plainmpi-join,96,32768,0.5458146,3688609000000.0
hpx-plainmpi-join,96,262144,3.536694,4554015000000.0
hpx-plainmpi-join,96,2097152,27.67713,4655434000000.0
hpx-plainmpi-join,96,16777216,214.2022,4812239000000.0
hpx-plainmpi-join,96,64,0.09772586,40550990000.0
hpx-plainmpi-join,96,512,0.0912596,345037700000.0
hpx-plainmpi-join,96,4096,0.1421781,1770237000000.0
hpx-plainmpi-join,96,32768,0.5401553,3727255000000.0
hpx-plainmpi-join,96,262144,3.482933,4624309000000.0
hpx-plainmpi-join,96,2097152,27.52226,4681630000000.0
hpx-plainmpi-join,96,16777216,214.6647,4801872000000.0
hpx-plainmpi-join,96,64,0.09700477,40852430000.0
hpx-plainmpi-join,96,512,0.08628744,364919900000.0
hpx-plainmpi-join,96,4096,0.1368595,1839032000000.0
hpx-plainmpi-join,96,32768,0.5386752,3737496000000.0
hpx-plainmpi-join,96,262144,3.515324,4581699000000.0
hpx-plainmpi-join,96,2097152,28.02328,4597930000000.0
hpx-plainmpi-join,96,16777216,214.6043,4803222000000.0
hpx-plainmpi-join,192,64,0.1127306,70307060000.0
hpx-plainmpi-join,192,512,0.1133849,555417800000.0
