framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,48,64,0.05665775,55955340000.0
hpx-plainmpi-join,48,512,0.06459128,389996900000.0
hpx-plainmpi-join,48,4096,0.1407087,1430979000000.0
hpx-plainmpi-join,48,32768,0.729332,2208373000000.0
hpx-plainmpi-join,48,262144,5.352832,2407123000000.0
hpx-plainmpi-join,48,2097152,43.17408,2387526000000.0
hpx-plainmpi-join,48,16777216,343.2464,2402454000000.0
hpx-plainmpi-join,48,64,0.116267,27267440000.0
hpx-plainmpi-join,48,512,0.0642847,391856800000.0
hpx-plainmpi-join,48,4096,0.1438892,1399349000000.0
hpx-plainmpi-join,48,32768,0.7260429,2218378000000.0
hpx-plainmpi-join,48,262144,5.357934,2404831000000.0
hpx-plainmpi-join,48,2097152,42.48741,2426112000000.0
hpx-plainmpi-join,48,16777216,344.7519,2391963000000.0
hpx-plainmpi-join,48,64,0.05742422,55208490000.0
hpx-plainmpi-join,48,512,0.08592335,293172900000.0
hpx-plainmpi-join,48,4096,0.1408706,1429334000000.0
hpx-plainmpi-join,48,32768,0.7320991,2200026000000.0
hpx-plainmpi-join,48,262144,5.443855,2366875000000.0
hpx-plainmpi-join,48,2097152,42.70311,2413858000000.0
hpx-plainmpi-join,48,16777216,343.2553,2402392000000.0
hpx-plainmpi-join,48,64,0.06625929,47846940000.0
hpx-plainmpi-join,48,512,0.06628562,380028100000.0
hpx-plainmpi-join,48,4096,0.1404908,1433198000000.0
hpx-plainmpi-join,48,32768,0.7274762,2214007000000.0
hpx-plainmpi-join,48,262144,5.399794,2386189000000.0
hpx-plainmpi-join,48,2097152,42.65252,2416721000000.0
hpx-plainmpi-join,48,16777216,343.7763,2398751000000.0
hpx-plainmpi-join,48,64,0.06070633,52223610000.0
hpx-plainmpi-join,48,512,0.07021577,358757000000.0
hpx-plainmpi-join,48,4096,0.1391643,1446859000000.0
hpx-plainmpi-join,48,32768,0.7327701,2198012000000.0
hpx-plainmpi-join,48,262144,5.37779,2395952000000.0
hpx-plainmpi-join,48,2097152,42.92933,2401138000000.0
hpx-plainmpi-join,48,16777216,344.3111,2395025000000.0
hpx-plainmpi-join,96,64,0.08816909,71914180000.0
hpx-plainmpi-join,96,512,0.1015108,496309700000.0
hpx-plainmpi-join,96,4096,0.1711556,2352843000000.0
hpx-plainmpi-join,96,32768,0.7612836,4231372000000.0
hpx-plainmpi-join,96,262144,5.546581,4646079000000.0
hpx-plainmpi-join,96,2097152,43.46165,4743457000000.0
hpx-plainmpi-join,96,16777216,351.373,4693779000000.0
hpx-plainmpi-join,96,64,0.1449465,43744490000.0
hpx-plainmpi-join,96,512,0.09371585,537591000000.0
hpx-plainmpi-join,96,4096,0.2081733,1934457000000.0
hpx-plainmpi-join,96,32768,0.7689528,4189171000000.0
hpx-plainmpi-join,96,262144,5.508521,4678180000000.0
hpx-plainmpi-join,96,2097152,44.26393,4657482000000.0
hpx-plainmpi-join,96,16777216,348.0273,4738902000000.0
hpx-plainmpi-join,96,64,0.1315071,48214940000.0
hpx-plainmpi-join,96,512,0.09251275,544582200000.0
hpx-plainmpi-join,96,4096,0.1742316,2311305000000.0
hpx-plainmpi-join,96,32768,0.7797865,4130970000000.0
hpx-plainmpi-join,96,262144,5.601932,4600173000000.0
hpx-plainmpi-join,96,2097152,44.13563,4671022000000.0
hpx-plainmpi-join,96,16777216,348.1834,4736778000000.0
hpx-plainmpi-join,96,64,0.09205309,68879900000.0
hpx-plainmpi-join,96,512,0.1005159,501222100000.0
hpx-plainmpi-join,96,4096,0.1794233,2244426000000.0
hpx-plainmpi-join,96,32768,0.7712403,4176746000000.0
hpx-plainmpi-join,96,262144,5.584411,4614605000000.0
hpx-plainmpi-join,96,2097152,43.95579,4690132000000.0
hpx-plainmpi-join,96,16777216,348.058,4738484000000.0
hpx-plainmpi-join,96,64,0.09021485,70283420000.0
hpx-plainmpi-join,96,512,0.1002845,502378800000.0
hpx-plainmpi-join,96,4096,0.1748271,2303432000000.0
hpx-plainmpi-join,96,32768,0.7898977,4078091000000.0
hpx-plainmpi-join,96,262144,5.659312,4553531000000.0
