CPUS_PER_PROC,NPROCS,WIDTH,NITER,FLOPS,FILE
1,384,768,16777216,19158540000000.0,8node_nonsmp_odf2_data.txt
1,384,768,64,1031832000000.0,8node_nonsmp_odf2_data.txt
1,384,768,134217728,19184320000000.0,8node_nonsmp_odf2_data.txt
1,384,768,2097152,19235670000000.0,8node_nonsmp_odf2_data.txt
1,384,768,4096,14586350000000.0,8node_nonsmp_odf2_data.txt
1,384,768,262144,18703030000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,4798192000000.0,8node_nonsmp_odf2_data.txt
1,384,768,32768,15963810000000.0,8node_nonsmp_odf2_data.txt
1,384,768,32768,16410450000000.0,8node_nonsmp_odf2_data.txt
1,384,768,64,1029157000000.0,8node_nonsmp_odf2_data.txt
1,384,768,16777216,19249190000000.0,8node_nonsmp_odf2_data.txt
1,384,768,262144,18854300000000.0,8node_nonsmp_odf2_data.txt
1,384,768,4096,14627790000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,4929144000000.0,8node_nonsmp_odf2_data.txt
1,384,768,2097152,18804730000000.0,8node_nonsmp_odf2_data.txt
1,384,768,134217728,19179720000000.0,8node_nonsmp_odf2_data.txt
1,384,768,64,989339600000.0,8node_nonsmp_odf2_data.txt
1,384,768,2097152,19241060000000.0,8node_nonsmp_odf2_data.txt
1,384,768,16777216,19236440000000.0,8node_nonsmp_odf2_data.txt
1,384,768,262144,19125780000000.0,8node_nonsmp_odf2_data.txt
1,384,768,134217728,19185830000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,5503070000000.0,8node_nonsmp_odf2_data.txt
1,384,768,4096,14418880000000.0,8node_nonsmp_odf2_data.txt
1,384,768,32768,15696840000000.0,8node_nonsmp_odf2_data.txt
1,384,768,4096,14167200000000.0,8node_nonsmp_odf2_data.txt
1,384,768,64,882597800000.0,8node_nonsmp_odf2_data.txt
1,384,768,2097152,18951200000000.0,8node_nonsmp_odf2_data.txt
1,384,768,32768,18469640000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,5584808000000.0,8node_nonsmp_odf2_data.txt
1,384,768,262144,19149570000000.0,8node_nonsmp_odf2_data.txt
1,384,768,16777216,19227250000000.0,8node_nonsmp_odf2_data.txt
1,384,768,134217728,19161110000000.0,8node_nonsmp_odf2_data.txt
1,384,768,4096,14482550000000.0,8node_nonsmp_odf2_data.txt
1,384,768,134217728,19185540000000.0,8node_nonsmp_odf2_data.txt
1,384,768,262144,19133510000000.0,8node_nonsmp_odf2_data.txt
1,384,768,64,850178600000.0,8node_nonsmp_odf2_data.txt
1,384,768,16777216,19167850000000.0,8node_nonsmp_odf2_data.txt
1,384,768,2097152,19228380000000.0,8node_nonsmp_odf2_data.txt
1,384,768,32768,18125460000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,5400956000000.0,8node_nonsmp_odf2_data.txt
1,384,768,512,4943674000000.0,8node_nonsmp_odf2_data.txt
