framework,ncpu,iter,elapsed,flops
mpi-non,48,64,0.004564146,694610600000.0
mpi-non,48,512,0.0131233,1919518000000.0
mpi-non,48,4096,0.08943595,2251345000000.0
mpi-non,48,32768,0.6639953,2425676000000.0
mpi-non,48,262144,5.310251,2426425000000.0
mpi-non,48,2097152,42.33132,2435058000000.0
mpi-non,48,16777216,338.3662,2437104000000.0
mpi-non,48,64,0.004152591,763452000000.0
mpi-non,48,512,0.01316768,1913048000000.0
mpi-non,48,4096,0.0880059,2287928000000.0
mpi-non,48,32768,0.6998395,2301438000000.0
mpi-non,48,262144,5.346657,2409903000000.0
mpi-non,48,2097152,42.40904,2430596000000.0
mpi-non,48,16777216,338.6281,2435219000000.0
mpi-non,48,64,0.004171266,760034000000.0
mpi-non,48,512,0.01325298,1900735000000.0
mpi-non,48,4096,0.08782166,2292728000000.0
mpi-non,48,32768,0.6644751,2423924000000.0
mpi-non,48,262144,5.307753,2427567000000.0
mpi-non,48,2097152,42.37314,2432655000000.0
mpi-non,48,16777216,344.6898,2392394000000.0
mpi-non,48,64,0.004169824,760296800000.0
mpi-non,48,512,0.01329651,1894512000000.0
mpi-non,48,4096,0.08566012,2350582000000.0
mpi-non,48,32768,0.6677206,2412143000000.0
mpi-non,48,262144,5.308178,2427373000000.0
mpi-non,48,2097152,42.29995,2436864000000.0
mpi-non,48,16777216,338.4093,2436794000000.0
mpi-non,48,64,0.004129026,767809200000.0
mpi-non,48,512,0.0132092,1907035000000.0
mpi-non,48,4096,0.08562742,2351480000000.0
mpi-non,48,32768,0.665157,2421439000000.0
mpi-non,48,262144,5.303024,2429732000000.0
mpi-non,48,2097152,42.32373,2435495000000.0
mpi-non,48,16777216,338.5613,2435700000000.0
mpi-non,96,64,0.004411168,1437399000000.0
mpi-non,96,512,0.01333074,3779296000000.0
mpi-non,96,4096,0.08578892,4694107000000.0
mpi-non,96,32768,0.6670169,4829375000000.0
mpi-non,96,262144,5.34469,4821580000000.0
mpi-non,96,2097152,43.20472,4771666000000.0
mpi-non,96,16777216,347.2067,4750103000000.0
mpi-non,96,64,0.004314566,1469582000000.0
mpi-non,96,512,0.013198,3817307000000.0
mpi-non,96,4096,0.0857919,4693943000000.0
mpi-non,96,32768,0.6669914,4829560000000.0
mpi-non,96,262144,5.319998,4843960000000.0
mpi-non,96,2097152,43.2235,4769593000000.0
mpi-non,96,16777216,347.6998,4743366000000.0
